Title,Keywords,Abstract
Analysis of Types and Importance of Sensors in Smart Home Services,smart home service; sensor importance; Analysis sensor types; internet of things,"In the paradigm shift of smart home to smart city, more sensors and smart objects will be deployed for user-centric service. To design the advanced smart city, understanding and analysis of duplicated sensors in current smart home services is important. In this paper, we categorize the smart home services and analyze the types of sensors that used in the smart home, and then we estimate the importance of sensors using the sensor tree. As a result, the motion sensor has high importance score and it is used in 7 smart home services."
An IoT Service Framework For Smart Home: Case Study On HEM,Smart Home; Service Framework; Lab of Things; MQTT; Azure,"Nowadays, most of smart home applications are either ad hoc or close/monolithic. So it is critical to study novel software architecture/frameworks which are open, connecting multiple heterogonous devices and multiple networks, supporting multiple concurrent applications, enabling reliable data/command delivery among home gateway and cloud/smart phone, and easy to develop third party service business applications. To achieve the above demand, this paper proposes a service framework for smart home which well combines Lab of Things (HomeOS), MQTT and Azure cloud. To validate this service framework's rationality and combine high energy consumption of the whole society, based on this service framework, we developed a smart home energy management service system, which includes two sub-systems, i.e. home energy management application running on home gateway, and energy service system for multi-homes running on Azure cloud and operated by specialized 3rd party energy service provider."
Using Web Services for Medication Management in a Smart Home Environment,Smart Home; Web Services; OSGi; Medications,"The Smart Home is a house equipped with technology to assist especially the elderly and persons with special needs. Smart Homes rely on Service-Oriented technology usually OSGi. Web Services (WS) receives little emphasis on Smart Homes, but they can be very useful for some applications. That is the case of management of medication as this task can become very difficult and involve different, remote parties. Several solutions have been proposed for applications like medications management but their lack of interoperability limits them. This paper presents a solution that integrates current systems and provides interoperability by using WS. The secure transfer of sensitive data among subsystems is achieved by using secure WS for communication purposes as shown by our prototyped implementation."
UPnP Remote UI and Sensor Collaboration Framework for Cloud AV Service in Smart Home,Smart Home; Home Networking; Cloud Computing; UPnP; UPnP Remote UI,"This paper presents a context-aware AV service framework based on cloud AV servers and UPnP Remote UI devices in smart home environments. The proposed AV service may be viewed as similar, in spirit, to N-screen services. However, our emphasis is placed on the intelligence and context-awareness enabled by various sensors deployed at smart home. Keywords Smart Home; Home Networking;"
Middleware Aided Context-Aware Service for Smart Home,smart home; context-aware; cooperative; ontology; service,"To realize smart home services, several context-aware applications should be deployed which adapt their behavior depend on context information of home occupants. For context-aware service, context providing, processing, reasoning, delivery and designing context-aware applications are complex tasks. In this paper, we present a context-aware middleware which provides above tasks and supports context sharing in cooperative manner. We model domain context using ontology and adopt FOL which helps the context reasoning."
Risk driven Smart Home resource management using cloud services,Internet of things; Smart Home; Risk; Web services,"In order to fully exploit the concept of Smart Home, challenges associated with multiple device management in consumer facing applications have to be addressed. Specific to this is the management of resource usage in the home via the improved utilization of devices, this is achieved by integration with the wider environment they operate in. The traditional model of the isolated device no longer applies, the future home will be connected with services provided by third parties ranging from supermarkets to domestic appliance manufacturers. In order to achieve this risk based integrated device management and contextualization is explored in this paper based on the cloud computing model. We produce an architecture and evaluate risk models to assist in this management of devices from a security, privacy and resource management perspective. We later propose an expansion on the risk based approach to wider data sharing between the home and external services using the key indicators of TREC (Trust, Risk, Eco-efficiency and Cost). The paper contributes to Smart Home research by defining how Cloud service management principles of risk and contextualization for virtual machines can produce solutions to emerging challenges facing a new generation of Smart Home devices. (C) 2013 Elsevier B.V. All rights reserved."
Smart Homes and Assisted Living as an Additional Service Offered to the Users,Smart Home; Assisted Livingt; Additional Services,"For several years, ENEA has been conducting a research project funded by the Ministry of Economic Development, within a broader context that envisages the development of an integrated Smart Urban District model. Among the objectives of the project, there is the development of a replicable Smart Home model capable of stimulating energy savings and, at the same time, offering innovative services that aim to improve the quality of life of end users, in particular fragile users as well as older people. This paper presents the integration on the Smart Home developed architecture of a useful additional assisted living service, namely MySignals service, which is able to monitor the vital parameters of home users."
Smart Home Services Enabled by Service Level Agreements,Smart Home; Coordination; Services; Service Level Agreements; SLAs; Mapping perceived parameters - physical parameters; Monitoring; Multi Agent Systems,"The challenge for the future Smart Grids is to improve the energy efficiency and enable groups of stakeholders to offer services to customers. An intelligent agent-based ICT infrastructure supplementing SCADA systems is required to support such perspectives of power grids. This paper focus on describing a novel approach, using Service Level Agreements (SLAs) as a tool, for improving coordination between high-level Smart Grid business requirements and low level infrastructure affordances. Monitoring of SLAs and trustworthy data management requires setting up and monitoring clusters of SLAs coordinating sets of relevant stakeholders. We argue that coordinating services with infrastructures using SLA, as a coordination mechanism is a promising approach towards sustainable Smart Grid solutions. A case study of agent-based comfort monitoring and control in Smart homes illustrates our approach and related tools."
Privacy-Aware Sensor Data Upload Management for Securely Receiving Smart Home Services,smart home; privacy; risk; benefit; optimization,"Recently smart homes equipped with many sensors and IoT devices are widespread. However, when smart home users receive smart home services like elderly monitoring, they need to upload their privacy sensitive data to potentially untrusted cloud servers where the service quality (user's benefit) depends on the amount/frequency of the uploaded data. In this paper, aiming to minimize the risk of privacy leakage and maximize users' benefit obtained through services, we propose a novel privacy-aware data management method that works on a smart-home system composed of smart homes with sensors, edge computing servers, and a cloud server. We formulate a combinatorial optimization problem which determines the best choice of data type (raw or activity label recognized at the edge) and upload frequency in each time slot taking into account the constraints of edge server resources and users' budgets as well as the k-anonymity of activities and users' preferences. Since the target problem is NP-hard, we propose a heuristic algorithm to derive semi-optimal solutions by determining choices with better objective function values in a greedy manner. Through experiments using smart-home open dataset, we confirmed that the proposed method outperforms the conventional methods using only a cloud server."
Reinforcement Learning Based Architectures for Dynamic Generation of Smart Home Services,service orientation; reinforcement learning; multi-agent; smart home,"A smart home system is realized by implementing various services. However, the design and deployment of smart home services are challenging due to their complexity and the large number of connected objects. Existing approaches to the smart home system to create services either require complex input from the inhabitant or can only work if the inhabitant specifies r egulation s olutions r ather t han targets. In addition, smart home services may conflict i f t hey access the same actuators. Learning methods to dynamically generate smart home services are promising ways to solve the above problems. In this paper, depending on the ability to consider the composition of services and their mutual influence, w e propose several reinforcement learning-based architectures for a smart home system to dynamically generate services. The expected advantages are, first, t hat t he s mart h ome s ervices c an propose the states of the actuators by considering the target values of the controllable environment states given by the inhabitant or by interacting with the inhabitant in a simple and natural way; and second, that there is no conflict b etween t hese propositions. We compare the performance of the proposed architectures using several simulated smart home environments with different services and select the architectures with the best performance concerning our predefined metrics."
Web Services and GSM based Smart Home Control System,Smart Home; GSM; ZigBee; web services; embedded server; graphical user interface<bold>; </bold>,"In recent years, smart home control system have seen integration of different and promising technologies. Wireless protocols, web services architectures, mobile communications standard and much more technologies can be integrated in such smart system. The choice of the technologies which will be integrated to the future smart home must be done correctly. In this paper, an advanced smart home control system is presented. The proposed system permits to users to control and monitor the home equipments and devices remotely and flexibly. In this proposed system, user has the possibility to take control of the system via internet or GSM as an alternative remote control solution. This system is designed using XBee ZigBee modules, Raspberry pi, developed smart plugs and GSM modem.<bold> </bold>"
"A Smart Home Services Demonstration: Monitoring, Control and Security Services Offered to the User",Smart Home Networks; Smart District; Energy Consumption; Comfort and Safety Services,"The Italian Ministry of Economic Development and the Italian National Agency for New Technologies, Energy and Sustainable Economic Development (ENEA) have entered into a Program Agreement for the execution of the research and development lines of General Interest for the national electricity system. In particular, as part of the Development of an integrated model of the Urban Smart District project, an experimental demonstration of a Smart Home network has been carried out in the Centocelle district of Rome, called Centocelle Smart Home. This project aims to develop a replicable model of Smart Home able to monitor energy consumption, the degree of comfort and safety in residential buildings, transmitting them to a higher level technological platform where data are analyzed and aggregated to provide a series of feedbacks to the user and to the community. The objective is to reduce the final consumption of energy (electric and thermal) of domestic consumers through a path of growth of energy awareness, also providing additional services on security. This paper presents the architecture proposed in the ENEA project for monitoring the energy consumption and increasing the degrees of comfort and safety of domestic users. The proposed security service is presented here together with the developed Out of Home App."
Design of Smart Home System Based on Service Encapsulation and Device Abstraction,Smart home; Device abstract; Service encapsulation; UPnP,"Through research and analysis about smart home, a smart home system based on service encapsulation and equipment abstract solutions have been proposed. It's combining pervasive computing and mobile computing technique centered on home intelligent gateway, through the device abstract and service encapsulation technology, changes home applications into protocol-independent devices and provides a platform where mobile terminal equipment can conveniently monitor home environment and control home devices intelligently ultimately. Experiments demonstrate that this smart family can largely facilitate the people to manage family devices."
Building a Smart Home System with WSN and Service Robot,smart home; wireless sensor networks; service robot,"Smart home environments have evolved to the point where everyday objects and devices at home can be networked to give the inhabitants new means to control them. Advances in digital electronics have enable the development of small in size and communicate in short distances sensor nodes. They are low-cost, low-power and multifunctional. The sensor nodes consist of sensing, data processing, and communication components, leverage the idea of Wireless Sensor Networks (WSN) based on collaborative effort of a large number of nodes. There are a large number of reseaches dealing with WSN applications, but it is still possible to explored in WSN development and maintenance. This paper examines the possibility of integration WSN and the service robots into a smart home application. The service robots can be considered to be mobile nodes that provide additional sensorial information, improve/repair the connectivity and collect information from wireless sensor nodes. On the other hand, the WSN can be considered as an extension of the sensorial capabilities of the robots and it can provide a smart environment for the service robots."
Smart Home Services Based on Event Matching,Event Matching; Inference Engine; Rete Algorithm; Complex Event; Smart Home,"The smart home based on the Internet-of-Things (IoT) and other technologies provides people a living environment with security, convenience, comfort, environmental protection and intelligence. One of the key issues for the smart home service system is how to process real-time data from IoT layer rapidly and supply an initiative service with precision, individuation and intelligence. This paper proposes a smart home service framework based on event matching, and designs a hierarchical model for smart home services supporting real-time data awareness, data processing, event processing and service mapping. At the same time we improve the Rete algorithm to implement event engine and analyze the performance of the improved Rete algorithm. At last, an application is used to verify the feasibility and effectiveness of the smart home service based on event matching."
The Impact of IoT Smart Home Services on Psychological Well-Being,IoT; Smart home services; Well-being; Hedonic motivation; Eudaimonic motivation,"Smart home services are a new generation of consumer services. Supported by the Internet of Things (IoT) technology, they deliver security, comfort, entertainment, assisted living, and efficient management of the home to improve the quality of life of consumers. As the availability of smart home services expands, there is still a lack of understanding of what motivates their continuing use and how the penetration of smart devices and services in the home environment affects individual well-being. We develop a research model combining hedonic and eudaimonic motivations with the unified theory of acceptance and use of technology 2 (UTAUT 2) to evaluate the impacts on well-being. The model is estimated using partial least squares based on a sample of 260 survey responses. The results show that hedonic motivation associated with the adoption of some smart home services moderates continuing use. Additionally, the results suggest a positive relationship between the use of IoT smart home services and well-being. Furthermore, hedonic and eudaimonic motives have a substantial effect on the use behavior of smart home services and ultimately on well-being."
A Bridge Structure of Device Sociality Framework for Smart Home Service,device sociality; device collaboration; device interaction; smart home service,"This paper proposed bridge structure of the device sociality framework for smart home service. The framework makes easy device collaboration possible by giving the social relation among devices. In this paper, we proposed a kind of bridge structure to extend the framework easily to home network environment for smart home service. To show the feasibility of the proposed method, we applied the proposed bridge approach of the framework to the UPnP AV architecture service among smart devices."
Adapted smart home services based on smart contracts and service level agreements,domain&#8208; specific language; elderly person; microservice; service&#8208; level agreement; SMAF; smart contract; smart home,"In smart home systems (SHS), devices intercommunicate to create an intelligent environment that can monitor the inhabitant's health state and provide adapted services. However, existing health monitoring systems (HMS) do not provide adapted services to the patient autonomy degree. Furthermore, in these critical systems, the Quality of Service (QoS) aspect is very important; therefore, service level agreements (SLA) are the best solution to define and guarantee the expected QoS levels, nevertheless, existing SLA specification languages lack expressiveness in terms of user preference specification, dynamic service management and pricing. In this work, we propose an elderly health state-aware SHS to offer adapted services according to the elderly health state, it is based on three main parts: (a) the functional autonomy measurement system (SMAF) for calculating the inhabitant's profile or autonomy degree, (b) domain-specific language (DSL) for SLA that aims to increase patient-awareness through the use of preferences, facilitate the SLA management using microservices, and manage the QoS dynamically using multilevel SLA (ML-SLA) concept, and (c) smart contracts for the provision of adapted services and the verification of SLA terms."
Machine Learning-Based Non-Intrusive Digital Forensic Service for Smart Homes,Digital forensics; security service; Internet of Things; smart home; machine learning,"Security and privacy concerns keep growing with the successful development of Internet of Things (IoT) and the booming deployment of smart homes. IoT devices are utilized cooperatively to enable the interactions between home surroundings and users' daily lives, containing forensically-valuable information about what happens in smart homes, which can help introduce digital forensics into smart homes to alleviate the growing concerns. However, current IoT devices, apps, and platforms usually do not provide built-in capabilities for digital forensics. To overcome this limitation, we propose a non-intrusive solution (i.e., bringing no modification to IoT devices, apps, and platforms) of digital forensic service to provide Forensics-as-a-Service (FaaS) for smart homes. First, it leverages side-channel analysis on sniffed network traffic to monitor commands, actions, and states of IoT devices. Then, it introduces provenance graphs (i.e., causal graphs) for smart home modeling to provide a holistic and overall explanation of smart homes. Machine learning (ML) techniques are applied to overcome the deficiency of a non-intrusive solution as it suffers from challenges in data collection and smart home modeling. Finally, it conducts forensic analysis based on scalable, reusable policies that are designed for graph-based smart home modeling. We implement a prototype of our forensic service and evaluate it in a real-world smart home. The evaluation results show that our forensic service can effectively collect forensic data for smart home modeling and conduct forensic analysis to explain security risks in smart homes."
Preference and usability of Smart-Home services and items-A Focus on the Smart-Home living-lab -,Smart-Home; living-lab; smart item; preference; usability,"With the development of the information technology industry, including artificial intelligence (AI) platforms, a Hyperconnected-society has arrived. Smart-Home technologies and services are continuing to overcome early challenges and expanding our expectations for their capabilities to the expectation that they will change our daily lives. The purpose of this study is to examine the theoretical background and trends of Smart-Home development in residential spaces as a recent trend and to derive suggestions for resident-centred Smart-Home planning and development through a questionnaire survey. For this, we collected information on the smart technology (service) and item preferences of visitors to the Smart-Home Living-lab and prepared an evaluation of our findings. From this, a broader understanding of Smart-Home was derived by viewing our data through the lens of usability Our survey, which interrogated all age groups indicated a high preference for items associated with health care, and emergency and safety response items. Second. In particular, there was a high interest in daily health and body change management , yet, contrary to expectations, the preference for health-related services and items was in the more senior group. It is also notable that reference scores were high for items corresponding to automatic sensing, that is, services and items that respond to daily behavior. This research is meaningful as a basic study in specific smart space planning in that uses a practical experience and evaluation of Smart Home where new smart services and items have been implemented, but which have not yet become common. It is also expected to contribute to improving effectiveness and satisfaction by analysing the experience and usability of items and services associated with smart home technology."
SmartGreeting: A New Smart Home System Which Enables Context-Aware Services,Persons' counting; Personalized services; Smart home; Passive infrared sensors,"Home automation systems are expected to develop a new trend, as they embed new technologies and low-cost devices making them suitable for any budget. Nowadays, the researching efforts are dedicated to designing low-power and low-cost smart home systems that offer personalized services considering multiple scenarios that cover usual daily activities. The main goal of the paper is to analyse the digital output signal of passive infrared sensors used in a configuration of smart home entrance called SmartGreeting. The system can be used to enable personalized services in an entire smart home environment."
Smart Door: A Ubiquitous Collaboration System for Home Activities in the Smart Home,smart home; home collaboration; home activity; ubiquitous service; home calendar; home portal,"This paper describes a smart home system consisting of Smart Door Porch and a home portal. Smart Door Porch uses cameras, an RFID (radio-frequency identification) reader, and a touch panel for home security as well as the at-home awareness of each family member. The home portal uses Open Services Gateway initiative (OSGi) framework and Java EE as the middleware to provide services including home activity, home calendar, and home collaboration map. The home collaboration map, based on the Google map, shows the locations of family members on the map with the aid of the GPS-enabled mobile devices carried by them. With the mobile devices, the proposed system supports ubiquitous collaboration among family members. Experimental results based on scenario simulations confirm that the proposed system is able to provide better services for family members in home collaboration."
A Formal Model for Robust Spatial-Aware Service Management in IoT-enriched Smart Home,Smart Home; Ambient; SOA; Service Management,"We can perceive the advent of Smart Home attributed to the rapid emerging of embedded and tiny intelligent devices and sensors. However, most of current Smart Home systems are still being developed based on the so-called the system is the application philosophy, causing the developers to take care of all technical details from ground up. There is relatively little research focuses on the theoretical aspects so that the independent research achievements or results are not interoperable. The concept of the Ambient, which refers to a bounded place with computing capability, is one of the most important issues when implementing a system in Smart Home. The results of a service composition are not optimized if the concept of Ambient is not taken into account. This paper aims to investigate the spatial issues systematically from theoretical aspects. We propose several new spatial abstractions and a spatial-aware service management scheme on top of a UPnP-based robust service management protocol. Formal validation is also performed to verify the robustness of the proposed approach."
Empirical Examination of Intention to Continue to Use Smart Home Services,smart home; service quality; perceived usefulness; satisfaction; habit; continuance intention,"With the continuous expansion of sub-ecological problems, it is the question of how to effectively reduce environmental pollution and improve energy efficiency that has become a major challenge. At the same time, the energy consumption of family homes accounts for a large proportion, and whether smart homes can become a part of sustainable development is getting more and more attention. Although there are hundreds of smart home products and many investors on the market, consumers are relatively less accepting of this technology. How to make consumers adopt and continue to use has become a key issue in the development of smart homes. From the perspective of consumers, this study aims first to explore the relevant factors that affect the sustainable use of smart homes, and second empirically analyze the hypothetical model by using structural equation modeling. The empirical analysis results are based on the sample data of 488 Chinese respondents with experience in smart home use. The results showed that the service quality and perceived usefulness of smart home services positively impact users' degree of satisfaction, and a higher degree of satisfaction, in turn, contributes to users' formation of habits. Users' desire to continuously use smart home services is influenced by perceived usefulness, degree of satisfaction, and habit; among them, habit is the key factor affecting users' willingness. These findings expand our understanding of users' desire to continuously use smart homes and provide theoretical support for the sustainable development of the smart home industry."
ECDH-Based 3PAKE Protocol for Secure Smart Home Service,Smart Home; Password-Based Authentication; 3PAKE,"As concern about loT is increasing recently, various loT services are being launched. Above all, smart home service is closely related to our daily life. Important thing in smart home service is security, especially authentication. If an unauthorized user accesses the smart home, it would cause serious invasion of personal privacy. This paper introduces ECDH (Elliptic Curve Diffie-Hellman)-based 3PAKE Techniques, which provides authenticated Key exchange through home gateway using Password-based Authenticated Key Exchange (PAKE)."
Non-repudiation Scheme of Smart Home Based on Cloud Service,cloud service; smart home; non-repudiation; digital signature; bilinear paring,"Smart home control model based on cloud service not only solves the problem that different equipment manufactures carry out diversified long-range control model, but also provides key technology for gang control of multiple devices. However, the operation controversy among user, cloud provider and equipment can't be ignored. To solve the operation repudiation of participators, an ID-based non-repudiation scheme is presented. The security analysis shows that the presented scheme which involves signature, signature verification, feedback signature, feedback signature verification and execution instruction solves the possibly controversial problem in process of smart home control, and improves the security of based on cloud service smart home system."
